country,username,post_id,uploader_id,collection_time,upload_date,post_text,comments_amount,retweet_amount,like_amount,views_amount,conflict_sentiment,lang,israel_related_similarity,israel_related_class_from_similarity,conflict_sentiment_v,cluster_idx,cluster_label
us,rephorsford,1740423675591962939_a,389840566_a,2023-12-28 17:38:02.059000,2023-12-28 17:25:14,"After a record-breaking year for labor across the country, let's continue the momentum this year.

I'll keep working to deliver good-paying union jobs for Nevadans and standing up for workers' rights. https://t.co/e6cnzMYh6O",0,1,2,85.0,0,en,0.700344296532473,0.0,0,2,Public Service and Community Engagement
us,repmikecollins,1740426497876439254_a,1601030771124408325_a,2023-12-28 17:38:03.021000,2023-12-28 17:36:27,"Thanks to the fellas over at @RuthlessPodcast for the shoutout! 

@ComfortablySmug, @JohnAshbrook, @HolmesJosh, and @MichaelDuncan, I appreciate y’all.

Maybe we'll have to do a ""Just a Dude"" hang out for folks. No member pin. https://t.co/9qAVs7We1Z",0,2,5,99.0,0,en,0.657600627865851,0.0,0,2,Public Service and Community Engagement
us,repmikecollins,1740410367548018747_a,1601030771124408325_a,2023-12-28 17:38:03.021000,2023-12-28 16:32:21,"I am reliably informed that this is racist, no?",21,56,253,10502.0,0,en,0.7115144148037461,0.0,0,-1,outlier
us,repteresalf,1740409774775157136_a,1345147845926670337_a,2023-12-28 17:38:03.036000,2023-12-28 16:30:00,"I was happy to honor our veterans earlier this month at the Wreaths Across America ceremony.

Today, I am thinking about all those who have served, continue to serve, and the families who have made great sacrifices for our nation. https://t.co/AuxFSYHQoZ",2,2,11,234.0,0,en,0.7220964604186672,1.0,0,2,Public Service and Community Engagement
us,repmikecollins,1740359163094688009_a,1601030771124408325_a,2023-12-28 17:38:03.021000,2023-12-28 13:08:53,"Looking forward to joining @foxandfriends LIVE from Georgia’s 10th Congressional District this morning to discuss the Biden administration’s gas stove hypocrisy and more. 

I hope you’ll tune in! https://t.co/D5epCIQ7eS",12,1,16,2217.0,0,en,0.7162936868559191,1.0,0,-1,outlier
us,repmikecollins,1740349379813523561_a,1601030771124408325_a,2023-12-28 17:38:03.021000,2023-12-28 12:30:00,"On #ThisDayInHistory in 1856, President Woodrow Wilson was born in Virginia.

Soon after his birth, his family moved to Augusta, Georgia where his father preached at First Presbyterian Church. Wilson was the first southerner to occupy the White House after the Civil War. https://t.co/mXLb5BUgRQ",6,0,8,1544.0,0,en,0.6781061936097683,0.0,0,-1,outlier
us,chuckgrassley,1740379871572787450_a,10615232_a,2023-12-28 17:38:03.063000,2023-12-28 14:31:10,"2day is Iowa’s 177th birthday Our gr8 state is home to the number 1 agriculture state in America + innovative small biz/mfg + the best place to raise your family 

Happy bday Iowa happy bday to u 🎶",52,45,261,19919.0,0,en,0.6879024431337902,0.0,0,-1,outlier
us,repbobgood,1740375312452714855_a,1345536897838436353_a,2023-12-28 17:38:03.239000,2023-12-28 14:13:03,"Parents’ rights continue to be attacked in Virginia and across the country. This is pure evil, targeting the youngest and most vulnerable among us.",13,31,61,2421.0,0,en,0.7165110186198871,1.0,0,2,Public Service and Community Engagement
us,markwarner,1740384105798185110_a,7429102_a,2023-12-28 17:38:03.587000,2023-12-28 14:48:00,"From Arlington to Bristol, folks need more affordable housing options.

I’m proud to have announced over $150 million to expand affordable housing across the Commonwealth this year.",43,27,122,6544.0,0,en,0.7022924871112435,0.0,0,2,Public Service and Community Engagement
us,repdavids,1740402728495456445_a,1080516116395499522_a,2023-12-28 17:38:03.612000,2023-12-28 16:02:00,"I’m here working for you. That includes supporting legislation in Congress. This year, I:

📜Sponsored 236 bills - 72% are bipartisan
🪖Introduced 8 bills - 1 passed the House to support veteran small business owners

You deserve a government that works for you. #KS03in2023",1,9,42,1339.0,0,en,0.6970992293588623,0.0,0,2,Public Service and Community Engagement
us,repdonbeyer,1740396609199091713_a,2962868158_a,2023-12-28 17:38:04.756000,2023-12-28 15:37:41,"My latest, with Jamie Rappaport Clark of @Defenders, on the remarkable progress and importance of the Endangered Species Act — 50 years after its passage:

“We cannot turn our back on the Endangered Species Act after 50 years of preventing extinction”
https://t.co/YLirOpU9pd",1,10,26,2285.0,0,en,0.7012686010105822,0.0,0,-1,outlier
us,repdonbeyer,1740395404381094092_a,2962868158_a,2023-12-28 17:38:04.756000,2023-12-28 15:32:54,"RT @ASP: On the 50th anniversary of the Endangered Species Act, @RepDonBeyer joins ASP to discuss the role of the ESA in modern conservatio…",0,5,0,,0,en,0.689406062311654,0.0,0,-1,outlier
us,repdonbeyer,1740382079379263524_a,2962868158_a,2023-12-28 17:38:04.756000,2023-12-28 14:39:57,RT @POTUS: America was founded on the principle of equal justice under law — our criminal justice system can and should reflect this core v…,0,3703,0,,0,en,0.7014290460518433,0.0,0,-1,outlier
us,repbarrymoore,1740400715061678193_a,1339006078688825344_a,2023-12-28 17:38:04.898000,2023-12-28 15:54:00,"Happy National Pledge of Allegiance Day! This 31-word affirmation of commitment to our flag, our American values and our Nation was first composed in 1887. https://t.co/jQpcnUajF3",1,2,6,287.0,0,en,0.6961369140974036,0.0,0,-1,outlier
us,repbarrymoore,1740372159686730117_a,1339006078688825344_a,2023-12-28 17:38:04.898000,2023-12-28 14:00:32,"RT @1819News: .@RepBarryMoore  demands answers over undisclosed billions given to American colleges from foreign entities #alpolitics
By @C…",0,8,0,,0,en,0.6885875072603104,0.0,0,2,Public Service and Community Engagement
